Count;Frequencies leftCheek
150.214;74.21875
150.705;74.21875
151.225;74.21875
151.659;74.21875
152.155;74.21875
152.615;74.21875
153.109;74.21875
153.578;74.21875
154.065;74.21875
154.565;74.21875
155.092;74.21875
155.522;74.21875
155.982;74.21875
156.476;74.21875
156.974;74.21875
157.419;74.21875
157.91;76.171875
158.39;76.171875
158.866;76.171875
159.36;76.171875
159.825;76.171875
160.33;76.171875
160.772;76.171875
161.25;76.171875
161.754;76.171875
162.22;76.171875
162.701;76.171875
163.184;76.171875
163.705;76.171875
164.131;76.171875
164.606;78.12500000000001
165.104;78.12500000000001
165.593;78.12500000000001
166.109;78.12500000000001
166.592;78.12500000000001
167.03;78.12500000000001
167.513;78.12500000000001
167.973;78.12500000000001
168.482;78.12500000000001
168.93;78.12500000000001
169.407;78.12500000000001
169.895;78.12500000000001
170.376;78.12500000000001
170.862;78.12500000000001
171.356;78.12500000000001
171.81;78.12500000000001
172.308;78.12500000000001
172.818;78.12500000000001
173.246;78.12500000000001
173.746;78.12500000000001
174.206;78.12500000000001
174.703;78.12500000000001
175.19;78.12500000000001
175.657;77.525
176.186;76.92500000000001
176.611;76.325
177.093;75.72500000000001
177.585;75.125
178.105;74.525
178.555;73.92500000000001
179.033;73.325
179.497;72.72500000000001
179.973;72.125
