time;interpolated Pixel leftCheek
10.575;194.60471989651083
10.605;194.52978421304627
10.635;194.3845381303235
10.665;194.22763920955515
10.695;193.98848782882177
10.725;193.76909114865964
10.755;194.12258078506264
10.785;194.37509493722024
10.815;194.56262208632097
10.845;194.72126200118774
10.875;194.8164459501078
10.905;194.87048812059396
10.935;195.05062868888112
10.965;195.25443352869252
10.995;195.37761798573183
11.025;195.32187606127226
11.055;195.13889119085107
11.085;195.02331280632959
11.115;195.0485679250241
11.145;194.86725935009196
11.175;195.25564778569068
11.205;195.38213377941392
11.235;195.39637586947623
11.265;195.38594962084895
11.295;195.33135508099733
11.325;195.36380311831243
11.355;195.53413110887888
11.385;195.33012649036993
11.415;195.26210732437556
11.445;195.09400618438085
11.475;195.03422605317903
11.505;195.15284604407802
11.535;195.21309655937847
11.565;195.27959626943772
11.595;195.52732262750172
11.625;195.77504898556572
11.655;195.74329881765442
11.685;195.76730791056636
11.715;195.788191065258
11.745;195.5654556581729
11.775;195.6247079114276
11.805;195.1540295046061
11.835;194.9486887448796
11.865;194.86657347002176
11.895;194.856839034562
11.925;195.17766152976108
11.955;195.26249116357982
11.985;195.34387148757918
12.015;195.35993414564842
12.045;195.3279429708001
12.075;195.44477594477593
12.105;195.32671225738451
12.135;195.0806589082451
12.165;194.89850080435124
12.195;194.78053168833077
12.225;194.48476169494015
12.255;194.48826466916356
12.285;194.47602104512217
12.315;194.54209283849733
12.345;194.71683035714284
12.375;194.8716821479752
12.405;194.88891609190085
12.435;194.91558980922943
12.465;195.00362205367722
12.495;195.05690757355245
12.525;194.94194285868005
12.555;194.76870698357345
12.585;194.69570798532834
12.615;194.18845823511137
12.645;194.033039124317
12.675;194.14580511787491
12.705;194.1849901930422
12.735;194.23001442373652
12.765;194.24965744291484
12.795;194.2022052399739
12.825;194.18789641549782
12.855;194.33771882135477
12.885;194.4415570294661
12.915;194.3675666937555
12.945;194.1732840874115
12.975;193.9858857670492
13.005;193.86975414255164
13.035;193.81847442680774
13.065;193.84618835115475
13.095;194.14021873231727
13.125;194.22620891811917
13.155;194.31219910392105
13.185;194.2069397987829
13.215;194.23746539234648
13.245;194.3763150321747
13.275;194.51694169998032
13.305;194.5732807838226
13.335;194.40636855869462
13.365;194.04062655665157
13.395;193.82028384920054
13.425;193.82184245269178
13.455;193.82361754953277
13.485;194.12624395056315
13.515;194.26072727272728
13.545;194.35317482517482
13.575;194.54554725274724
13.605;194.61075281425892
13.635;194.46725236129132
13.665;194.4009663740916
13.695;194.31639433551197
13.725;194.11296296296297
13.755;193.7254096934909
13.785;193.21096519788728
13.815;193.092349724311
13.845;193.3957225570129
13.875;193.87117452440035
13.905;194.29843329685264
13.935;194.5410253540046
13.965;194.5803996194101
13.995;194.62861003075588
14.025;194.8696620874848
14.055;194.92081307352026
14.085;194.79676817899318
14.115;194.73261559518153
14.145;194.7437803897196
14.175;194.75494518425768
14.205;194.8437488477386
14.235;194.94449695259536
14.265;194.93168085387907
14.295;195.01158192638658
14.325;195.14187229269803
14.355;195.04691719171916
14.385;194.8945688125584
14.415;194.9855681063123
14.445;194.63420598006644
14.475;194.31198427675812
14.505;194.0665991573389
14.535;193.95056870581
14.565;193.93778302819214
14.595;193.95293398533005
14.625;193.93918092909536
14.655;193.9378883805406
14.685;194.1110429395055
14.715;194.0077517982369
14.745;193.88471453552307
14.775;193.9127052281275
14.805;193.89190839694658
14.835;193.7206017063314
14.865;193.48013848254675
14.895;193.30745511604144
14.925;193.37125911722686
14.955;193.38958756297467
14.985;193.44754549174795
15.015;193.46294804255757
15.045;193.3340357401095
15.075;193.46551073670696
15.105;193.69936343636166
15.135;193.81851624770079
15.165;193.7938886329482
15.195;193.7267224108957
15.225;193.6258230229361
15.255;193.30565805658057
15.285;193.28956720076482
15.315;193.12436924024541
15.345;193.01969364359624
15.375;193.30046714668907
15.405;193.28245098469233
15.435;193.17009517961316
15.465;193.10142106731152
15.495;193.17946704314832
15.525;193.4523603635401
15.555;193.55348098473485
15.585;193.51814089491333
15.615;193.28605800018295
15.645;193.06745163539733
15.675;192.88959635560806
15.705;192.8551740546872
15.735;192.84713926846297
15.765;192.88090655041682
15.795;192.91467383237065
15.825;193.08129262244265
15.855;192.7225150441942
15.885;192.8693045784375
15.915;193.14245773214907
15.945;193.38518751981877
15.975;193.47882716453745
16.005;193.3374224061484
16.035;193.1322989398005
16.065;193.22944048579168
16.095;193.2268175243954
16.125;193.21706852675712
16.155;193.2513472343848
16.185;193.33985625245663
16.215;193.48641136504014
16.245;193.65780469881477
16.275;193.7596668632908
16.305;193.86152902776684
16.335;193.76291831594096
16.365;193.6092625969618
16.395;193.50175061106236
16.425;193.467767050763
16.455;193.51365979445654
16.485;193.6388218227117
16.515;193.69723076923077
16.545;193.76612884901152
16.575;194.03989118925037
16.605;194.1738050900062
16.635;194.17254684852452
16.665;194.1126264285975
16.695;194.0984341103598
16.725;194.14485238772266
16.755;194.26067427891118
16.785;194.14432599166622
16.815;193.9530214751006
16.845;193.7591322609722
16.875;193.71492855943694
16.905;193.75085344124162
16.935;193.88131799075086
16.965;194.17816516738475
16.995;194.3812442537542
17.025;194.28111369494442
17.055;194.2677629537698
17.085;194.24133586097741
17.115;194.20529891626055
17.145;194.24196090508886
17.175;194.22189350263747
17.205;194.07508582548513
17.235;194.05374419415838
17.265;194.01087793816015
17.295;193.6666669367616
17.325;193.94440004262574
17.355;194.10926399545326
17.385;193.9891194792402
17.415;193.78787436883647
17.445;193.8040546733929
17.475;194.0462197300835
17.505;194.2676055065761
17.535;194.43700801458317
17.565;194.7530341063606
17.595;194.3315752660731
17.625;194.18027685322306
17.655;194.07445396996326
17.685;194.12024747010972
17.715;194.32178300064982
17.745;194.5856589147287
17.775;194.79895086613521
17.805;194.8722466161048
17.835;194.71684145589143
17.865;194.7972959078758
17.895;194.8900884227843
17.925;194.92645707887021
17.955;194.92315348525378
17.985;194.91984989163734
18.015;195.1084421576578
18.045;194.94196457816219
18.075;194.65580367263658
18.105;194.64338679085623
18.135;194.89615419583598
18.165;195.12078607815533
18.195;195.31820283600493
18.225;195.58407829839706
18.255;195.78015100797413
18.285;195.96846785612732
18.315;196.08299147996212
18.345;196.04568906789038
18.375;195.96885706516812
18.405;196.0895176728767
18.435;196.15060626380486
18.465;196.34213778349792
18.495;196.1300347725297
18.525;196.00758685116614
18.555;196.07467603377984
18.585;196.1958705697487
18.615;196.25027320506592
18.645;196.30516031075635
18.675;196.3740970572688
18.705;196.44303380378128
18.735;196.4406164185576
18.765;196.4713460389136
18.795;196.4169918376179
18.825;196.3610459146252
18.855;196.3689057668102
18.885;196.15296078539987
18.915;195.93701580398954
18.945;195.91401459017334
18.975;195.89188659408023
19.005;195.80047044567598
19.035;195.80083219817732
19.065;196.09174750830564
19.095;196.2836411960133
19.125;195.60627578052126
19.155;195.41214549938348
19.185;195.4696728234891
19.215;195.65900167635942
19.245;195.8881443979749
19.275;196.1839713154791
19.305;196.0945627445384
19.335;196.0051541735977
19.365;195.9265494774748
19.395;195.66470578236252
19.425;195.71284491310578
19.455;195.70612350169503
19.485;195.61866437629894
19.515;195.7223671374645
19.545;195.82565693838757
19.575;195.92847478474783
19.605;195.9910257442274
19.635;196.09185896580854
19.665;196.2422770691451
19.695;196.38524984154407
19.725;196.22714508580344
19.755;196.33786363219235
19.785;196.2121854421692
19.815;196.00447265034754
