time;interpolated Pixel rightCheek
6.348;200.8925653275016
6.378;201.29920919229468
6.408;201.69071192428413
6.438;201.95861390012814
6.468;202.329833255898
6.498;202.62487223168654
6.528;202.89207276426248
6.558;203.09570304700293
6.588;202.9101189838139
6.618;202.29000964733626
6.648;201.97813618142567
6.678;201.89140730717185
6.708;201.87872124492557
6.738;202.20346355091738
6.768;202.76519605437502
6.798;202.61001374098248
6.828;202.66411885949844
6.858;203.0325790154671
6.888;202.9642671101138
6.918;202.9236957044398
6.948;202.9419121774961
6.978;202.9197419820796
7.008;202.88241274144357
7.038;202.79527520937214
7.068;202.64351067434768
7.098;202.63124143139692
7.128;202.89172448466564
7.158;203.02074795952345
7.188;203.1063263267345
7.218;203.1919046939455
7.248;203.20753301320528
7.278;203.45394654264584
7.308;204.04504015834954
7.338;204.04023570012393
7.368;203.40763558359444
7.398;203.3903548048419
7.428;203.39429193428853
7.458;203.39298716926965
7.488;203.2396674647497
7.518;203.08634776022976
7.548;202.98250543193228
7.578;202.9603588140338
7.608;202.93561480800534
7.638;202.8496646494541
7.668;202.80005911912505
7.698;202.9197891974079
7.728;203.3749186158129
7.758;203.58097836081652
7.788;203.40387967131576
7.818;203.13790997522784
7.848;203.09051943683627
7.878;203.25321275041688
7.908;203.44842558134016
7.938;203.34803954994885
7.968;203.65382832958184
7.998;204.2976694069758
8.028;204.1082089552239
8.058;204.01951996772894
8.088;203.93083098023396
8.118;203.74683028616852
8.148;203.3458359522313
8.178;202.73466373350092
8.208;202.53368252483875
8.238;202.36200067403857
8.268;202.21690059756605
8.298;202.38942406953154
8.328;202.79612446342202
8.358;203.1063006199508
8.388;203.15103512373483
8.418;203.22871292004663
8.448;203.7675968117472
8.478;203.91131442326326
8.508;204.40098718083155
8.538;205.01445340399627
8.568;205.17773110001264
8.598;205.07077477610974
8.628;204.98888162197514
8.658;204.81627745931596
8.688;204.38519986150118
8.718;204.63504998775414
8.748;204.9083803803543
8.778;204.72418859098028
8.808;204.61282227466916
8.838;205.27836861257754
8.868;206.0325533883278
8.898;206.16116220829173
8.928;206.75077605950372
8.958;207.31699561191547
8.988;207.20478049912046
9.018;206.9707285864731
9.048;206.72313925161993
9.078;206.64060947333553
9.108;207.00208713761353
9.138;207.58601259529334
9.168;207.59056704834668
9.198;207.7272006399473
9.228;207.86383423154794
9.258;208.0766113833396
9.288;208.20172720563872
9.318;208.23339907955292
9.348;208.30475825998215
9.378;208.4831562110552
9.408;208.48640781467256
9.438;207.6825950535253
9.468;207.84012550756736
9.498;207.94465655856732
9.528;208.03373413493654
9.558;208.05711422845692
9.588;207.9822684584856
9.618;208.10452241056413
9.648;208.24500849088645
9.678;208.35939771312124
9.708;208.4883033543996
9.738;208.60367873323057
9.768;207.71671097135885
9.798;207.69086476466796
9.828;207.30148913456173
9.858;207.19557893087307
9.888;207.23724023724023
9.918;207.0783153526038
9.948;206.559658349185
9.978;206.3996493976353
10.008;206.40153694912004
10.038;206.42833165491777
10.068;206.6805173339487
10.098;206.58293250275983
10.128;206.4413692585229
10.158;206.32413496051686
10.188;206.52296442126286
10.218;206.9989854582347
10.248;206.96365373582353
10.278;206.75166340135644
10.308;206.54389460865715
10.338;206.40914685369333
10.368;206.49363075567283
10.398;206.81554706163402
10.428;206.77025322503582
10.458;206.56875754242142
10.488;206.34323080657373
10.518;206.30391535668667
10.548;206.31541750453917
10.578;206.3702884093172
10.608;206.56501042829555
10.638;206.6944733056266
10.668;206.55137974065508
10.698;206.24700791569828
10.728;205.94263609074147
10.758;205.8833680533445
10.788;206.01177092849932
10.818;206.4449889767901
10.848;207.12734382367438
10.878;207.35266142308396
10.908;207.21278072468687
10.938;206.59171467935872
10.968;206.3706256340047
10.998;206.8003288678394
11.028;207.03538464566154
11.058;207.01846968295516
11.088;206.87367210883784
11.118;206.08925596229827
11.148;206.16780120912077
11.178;206.18409286456753
11.208;206.19080704441802
11.238;206.6228775829622
11.268;206.9169910490229
11.298;206.64024629715522
11.328;206.0411195618492
11.358;205.55649180357418
11.388;205.6443589304543
11.418;206.36260056669758
11.448;206.64066669321755
11.478;206.74333107650642
11.508;206.8025735598355
11.538;206.36565446228886
11.568;205.96081920733548
11.598;206.00515774868796
11.628;206.41265138754864
11.658;206.39195496319107
11.688;206.14840265566355
11.718;205.83749367182978
11.748;205.7517816363493
11.778;205.81894243641233
11.808;205.6188478416226
11.838;205.98737980537223
11.868;206.04292374851474
11.898;206.00174206029536
11.928;205.6782092802315
11.958;205.3546765001676
11.988;205.49087687371295
12.018;206.17557794267216
12.048;206.33056829511466
12.078;205.77761685905173
12.108;205.07836843864928
12.138;204.99876823452814
12.168;205.06053247461682
12.198;205.26469724464664
12.228;206.18086466438209
12.258;206.24583813021945
12.288;205.83447627587145
12.318;205.52600465572164
12.348;205.42419137466308
12.378;205.40473170400236
12.408;205.81967930029154
12.438;205.92142857142858
12.468;205.38489723072686
12.498;204.84836589002515
12.528;204.7484319661265
12.558;204.99275949609836
12.588;205.225997686524
12.618;205.32576633892424
12.648;205.0057149257879
12.678;204.77640455651405
12.708;204.836104113366
12.738;204.99553075947358
12.768;205.04339424449026
12.798;204.92667394321867
12.828;204.79166655458175
12.858;204.75116433799067
12.888;204.75558406995532
12.918;204.83103489989716
12.948;205.0654925205314
12.978;205.3677709209624
13.008;205.43347353985652
13.038;204.83013403282612
13.068;204.67477386934675
13.098;204.6860971524288
13.128;204.66662479061975
13.158;204.52164300700056
13.188;204.36175782212368
13.218;204.3776639642309
13.248;204.4695455081767
13.278;204.54660726525017
13.308;204.60143934201508
13.338;204.5518329884871
13.368;204.12804745427582
13.398;204.31430548690065
13.428;204.6206143405976
13.458;204.68359112306658
13.488;204.50894022706595
13.518;204.4702920809175
13.548;204.51243481381528
13.578;204.28712786053873
13.608;204.24034110149924
13.638;204.37736824282175
13.668;204.6057096350673
13.698;204.83289076091933
13.728;204.98412843756677
13.758;205.03848412164248
13.788;204.47315699006873
13.818;204.19928380443085
13.848;204.27280944155046
13.878;204.39978105140196
13.908;204.44221774818027
13.938;204.4009023951989
13.968;204.4081784386617
13.998;204.49854457721636
14.028;204.57198538377622
14.058;204.64542619033608
14.088;204.777490568674
14.118;204.7517814726841
14.148;204.5206098831425
14.178;204.30603646698555
14.208;204.37980938152134
