Count;Frequencies rightCheek
163.665;103.515625
164.153;103.515625
164.616;103.515625
165.082;103.515625
165.602;103.515625
166.054;103.515625
166.56;103.515625
167.029;103.515625
167.546;103.515625
167.959;103.515625
168.45;103.515625
168.963;103.515625
169.426;103.515625
169.912;103.515625
170.409;103.515625
170.852;103.515625
171.324;103.515625
171.8;103.515625
172.29;103.515625
172.802;101.56250000000001
173.298;101.56250000000001
173.765;101.56250000000001
174.251;101.56250000000001
174.703;101.56250000000001
175.253;101.56250000000001
175.644;101.56250000000001
176.127;101.56250000000001
176.632;101.56250000000001
177.122;101.56250000000001
177.6;101.56250000000001
178.113;101.56250000000001
178.574;101.56250000000001
179.022;101.56250000000001
179.513;101.56250000000001
179.963;101.56250000000001
