time;Pixel leftCheek
15.016;194.90927835051545
15.051;194.3089915548932
15.085;194.57625434674614
15.12;194.14108296075509
15.153;194.53518334985134
15.199;194.41030723488603
15.267;194.18052139695033
15.302;194.45892769306442
15.336;194.2049504950495
15.37;194.0881188118812
15.405;194.07079207920793
15.438;193.3516270033997
15.471;193.55512384652744
15.507;193.2807187955318
15.547;193.0344827586207
15.58;193.4482421875
15.614;193.4580078125
15.68;193.722333000997
15.714;193.722333000997
15.748;193.75124626121635
15.782;193.4336759667156
15.817;193.34263338228095
15.851;193.39156035328753
15.902;193.37733071638863
15.947;193.801393728223
15.98;193.71976107516178
16.015;193.76157292185167
16.049;193.57478005865102
16.086;193.27908113391985
16.121;193.35386119257086
16.166;193.46184538653367
16.201;193.56209476309226
16.267;192.86604514229637
16.322;193.02109911678116
16.36;192.95619711299153
16.394;193.08561473369835
16.432;192.973618715779
16.465;192.86660029865604
16.514;192.9377799900448
16.548;193.04927824788453
16.582;193.04927824788453
16.616;193.71859296482413
16.655;193.5713567839196
16.69;192.87437185929647
16.762;192.8532663316583
16.797;193.00497512437812
16.832;193.19552238805971
16.865;193.75238095238095
16.898;193.54736842105262
16.932;193.83809523809524
16.976;193.8486377396569
17.044;192.98616600790513
17.078;192.9649209486166
17.116;193.19614624505928
17.15;193.58354494667344
17.183;193.60893854748602
17.217;192.97156862745098
17.268;192.68529411764706
17.308;193.04460784313724
17.342;193.25714285714287
17.376;193.59197994987468
17.415;193.46967418546365
17.449;193.2349159248269
17.482;193.36646884272997
17.516;193.4164193867458
17.55;193.5653040877368
17.584;193.51744765702892
17.618;193.69718309859155
17.687;193.79074446680082
17.721;193.45324803149606
17.757;193.52165354330708
17.791;193.25344488188978
17.828;193.7995981918634
17.862;193.68759417378203
17.896;193.5560020090407
17.93;193.3977900552486
17.964;193.3977900552486
18.003;192.626582278481
18.037;192.78140214216162
18.071;193.629889669007
18.105;193.77582748244734
18.138;192.84449877750612
18.171;193.00440097799512
18.205;193.08459657701712
18.239;193.76706827309238
18.273;193.7274096385542
18.339;192.9310178485287
18.371;192.95899662325132
18.405;193.95904954499494
18.438;194.1056622851365
18.476;194.02831142568252
18.51;194.01314459049544
18.55;193.27745383867833
18.585;193.37998056365404
18.622;193.57968901846453
18.688;193.9378787878788
18.721;193.9732323232323
18.757;193.10423770092547
18.793;193.13638577691182
18.859;193.6248124062031
18.894;193.87143571785893
18.929;193.3212180746562
18.964;193.42141453831042
18.997;193.32072691552062
19.03;193.93953023488257
19.064;194.14842578710645
19.098;193.94252873563218
19.135;193.6871015203531
19.168;193.80284453163316
19.215;194.3455549974887
19.249;194.4856855851331
19.317;193.93020985846755
19.352;193.93411420204978
19.385;194.6456771614193
19.42;194.77911044477761
19.457;193.95882352941177
19.493;193.95882352941177
19.564;194.7550200803213
19.598;194.6867469879518
19.633;194.56425702811245
19.668;194.59989959839356
19.703;193.62151589242055
19.738;193.40244498777506
19.773;193.359902200489
19.807;193.87761194029852
19.84;194.1865671641791
19.876;194.30447761194029
19.909;194.07876370887337
19.944;194.46261216350948
19.978;194.42123629112663
20.012;195.31354642313548
20.05;195.2699137493658
20.117;194.2566371681416
20.152;194.08062930186824
20.187;195.13306451612902
20.223;195.2298387096774
20.29;195.38760080645162
20.325;194.44001942690628
20.359;194.54395337542496
20.407;195.7254702592781
20.441;195.5500762582613
20.474;195.55516014234877
20.508;194.53339882121807
20.542;194.4189587426326
20.583;195.0367203219316
20.628;195.16549295774647
20.666;195.42957746478874
20.699;194.54221571498292
20.734;194.92728160078087
20.768;194.80283064909713
20.802;196.02044989775052
20.836;195.91717791411043
20.87;195.92995910020448
20.903;195.2963144963145
20.976;195.44422604422604
21.01;196.17667844522967
21.044;196.03079252902575
21.078;195.62807881773398
21.115;195.48128078817734
21.159;195.64926108374385
21.194;195.5945812807882
21.229;195.73940886699506
21.264;195.66847290640393
21.299;195.70620620620622
21.364;195.7012012012012
21.399;195.1181063933626
21.434;195.06734992679355
21.468;194.93753050268424
21.504;195.70335167583792
21.538;195.72986493246623
21.575;195.23900293255133
21.609;195.158357771261
21.643;195.34701857282502
21.68;195.4953178905865
21.716;195.62395268605223
21.762;195.61754558896007
21.795;195.03778213935232
21.828;195.20461236506378
21.862;195.57770103601382
21.896;195.33053774050322
21.932;195.69906265416873
21.967;195.6386554621849
22.001;195.53188334157193
22.034;195.18635689569945
22.069;195.27435387673955
22.103;195.14811133200794
22.169;194.83119447186576
22.203;194.81688055281342
22.236;194.79170779861798
22.27;194.6729156388752
22.304;194.7942772570301
22.342;194.7685093780849
22.377;194.9274432379072
22.411;194.81391905231985
22.449;194.55718475073314
22.516;194.64760508308896
22.549;194.95775347912524
22.584;195.1272365805169
22.618;195.14065606361828
22.652;195.22543640897754
22.684;195.22244389027432
22.718;195
22.767;194.79804878048782
22.801;194.64878048780488
22.84;194.27951219512195
22.873;194.6373134328358
22.907;194.55373134328357
22.95;194.52388059701494
22.985;194.18445646827348
23.018;194.28726020659124
23.052;194.3955334987593
23.085;194.20198511166254
23.12;194.44962779156327
23.154;194.3430404738401
23.186;194.27591312931887
23.22;194.25172754195458
23.287;194.48294611962433
23.32;194.3475037073653
23.355;194.45974155069584
23.39;194.66699801192843
23.424;194.55019880715705
23.464;194.52075098814228
23.504;194.48666007905138
23.547;194.27594687653715
23.581;194.0964092474176
23.617;193.80177078209542
23.651;193.8026706231454
23.689;193.6805143422354
23.726;193.7036310107949
23.759;193.72031403336604
23.794;193.75515210991168
23.83;193.74852652259332
23.865;193.8015717092338
23.913;193.4778978388998
23.946;193.56324110671937
23.98;193.7183794466403
24.015;193.92253873063467
24.049;193.92503748125938
24.086;193.91954022988506
24.135;193.50564001961746
24.203;193.92970297029703
24.238;193.67623762376238
24.273;193.41858190709047
24.306;193.4083129584352
24.339;193.5447432762836
24.405;193.2509765625
24.439;193.35693359375
24.506;193.20138888888889
24.539;193.3015873015873
24.573;193.41953163926257
24.607;193.42750373692078
24.641;192.76192794547225
24.675;193.1275559883155
24.71;192.97127555988317
24.745;193.9415322580645
24.782;193.7076612903226
24.82;193.7928427419355
24.853;193.01082677165354
24.887;192.90501968503938
24.922;193.2509842519685
24.956;193.34938574938576
24.99;193.4078624078624
25.023;193.43061728395062
25.091;193.2962962962963
25.124;193.4115327747659
25.159;193.01133563331692
25.196;192.94143920595533
25.23;192.94143920595533
25.296;192.75334987593052
25.336;192.7189349112426
25.369;193.04339250493098
25.403;192.9240631163708
25.438;193.23859649122807
25.471;193.08822055137844
25.503;193.3814536340852
25.537;193.2975
25.622;192.80029296875
25.685;193.13037109375
25.719;193.18290258449304
25.753;193.45725646123262
25.787;193.44159684573683
25.825;193.19073435189748
25.861;193.1542631838344
25.896;192.6619443087445
25.93;192.7171470444553
25.97;192.47826086956522
26.018;192.4856719367589
26.053;192.6161067193676
26.087;192.3443675889328
26.12;192.36124876114965
26.154;191.90485629335976
26.189;191.93508424182357
26.226;192.34396809571285
26.269;192.88733798604187
26.303;193.18993020937188
26.337;193.0839580209895
26.37;192.9720139930035
26.407;193.03986048829097
26.442;193.05829596412556
26.48;192.88888888888889
26.517;192.95211970074814
26.553;193.00997506234415
26.588;192.88977556109725
26.623;192.52807881773398
26.69;191.99458128078817
26.725;192.23027613412228
26.758;192.32741617357001
26.803;192.40384615384616
26.843;192.57228017883756
26.877;192.40685543964233
26.943;192.51115518096182
26.979;192.06246901338622
27.046;192.43033596837944
27.08;192.52964426877472
27.115;193.04511278195488
27.149;193.12531328320802
27.184;192.91779448621554
27.261;192.10490856592878
27.305;192.35178055822908
27.373;192.56768774703556
27.407;192.5647233201581
27.441;191.8097323600973
27.474;191.80243309002432
27.508;192.24875868917576
27.542;192.18073485600794
27.589;191.67768199233717
27.624;191.67768199233717
27.701;192.6884830035515
27.736;192.68696093353628
27.803;191.32406519654842
27.837;191.1658676893576
27.872;190.7027804410355
27.905;191.92010178117047
27.939;192.5445292620865
27.99;191.6065732237796
28.024;191.6824552924118
28.059;193.2577160493827
28.126;192.97685185185185
28.16;191.58849341784494
28.194;191.34373476353
28.229;192.55864509605664
28.262;192.26996966632962
28.297;192.43579373104146
28.334;191.41796875
28.367;191.4873046875
28.401;191.60302734375
28.436;192.61035696329813
28.503;192.75465057818
28.538;192.29980276134123
28.572;192.42455621301775
28.639;193.1161971830986
28.673;192.57220305569246
28.707;192.54608181370133
28.741;192.42582552981764
28.813;193.2629740518962
28.88;193.02476473501733
28.914;192.64735017335315
28.948;192.76027736503218
28.998;192.522022022022
29.031;192.75625625625625
29.063;192.78178178178177
29.097;192.63283582089554
29.131;192.84776119402986
29.165;192.8644578313253
29.208;192.9402610441767
29.257;192.93641331346248
29.291;192.74465971187283
29.325;192.93840039741679
29.391;193.39409113670507
29.425;193.14872308462694
29.458;193.03615651312532
29.492;193.03318474492323
29.526;193.2119861317484
29.565;193.7143574297189
29.599;193.62751004016064
29.672;192.97886977886978
29.709;192.92186732186732
29.777;193.44016024036054
29.812;193.51427140711067
29.88;193.14790836653387
29.918;193.35607569721117
29.984;193.48731974142217
30.018;193.50223769269022
30.088;193.3407297830375
30.155;193.62179487179486
30.227;194.0254491017964
30.266;194.16566866267465
30.334;193.7433628318584
30.367;193.40904621435595
30.434;193.9875249500998
30.469;193.79241516966067
30.503;193.2772861356932
30.538;193.4439528023599
30.58;193.91737606409615
30.65;193.88833249874813
30.717;193.34037328094303
30.884;193.87333003463633
30.918;194.00247402276102
30.956;193.67374136229023
30.989;193.68410661401776
31.023;193.31293188548864
31.063;193.32467532467533
31.102;193.53446553446554
31.157;193.72027972027973
31.191;193.01409820126398
31.259;194.3278350515464
31.293;194.32577319587628
31.325;194.4603092783505
31.36;193.42351205115594
31.394;193.5494343334973
31.461;193.51057550418102
31.508;194.12319920516643
31.542;193.91952309985098
31.575;193.452161243322
31.61;193.313258863526
31.644;193.61000485672656
31.728;194.7787787787788
31.774;194.73073073073073
31.807;193.9911980440098
31.841;193.82493887530563
31.885;193.49136655155402
31.917;193.64824864331524
31.951;193.585594474593
31.991;193.31968426245683
32.057;193.47640337804273
32.091;193.52608047690015
32.124;193.56780923994037
32.192;193.2620215897939
32.24;193.2468105986261
32.275;193.35604938271604
32.315;193.4558024691358
32.363;193.55889600788566
32.398;193.5278462296698
32.432;193.68802365697388
32.466;193.96736947791166
32.501;194.14357429718876
32.534;193.84135559921415
32.606;193.59921414538312
32.639;193.81813602015114
32.673;193.85793450881613
32.708;193.46750629722922
32.746;193.57884130982367
32.78;192.82484230955848
32.814;192.94808345463366
32.848;193.63972055888223
32.882;193.61626746506985
32.917;193.01028403525956
33.003;193.1718903036239
33.036;193.89396984924622
33.07;193.90452261306532
33.114;193.10769980506822
33.155;193.1817738791423
33.222;194.1632962588473
33.256;194.32912032355915
33.291;194.24570273003033
33.325;193.24759615384616
33.36;192.93076923076924
33.393;193.9156202913109
33.427;193.48166750376694
33.473;192.90878048780488
33.507;193.1570731707317
33.545;192.97756097560975
33.588;193.49823855057878
33.642;193.80724710619023
33.676;193.18879056047197
33.71;193.2630285152409
33.743;193.89853609288238
33.776;193.8854114083796
33.811;194.03483089348813
33.847;194.08278647147904
33.881;193.32598039215685
33.915;193.54852941176472
33.952;193.3372549019608
33.997;194.21870286576168
34.065;194.0221216691805
34.1;192.9784735812133
34.134;192.93493150684932
34.177;193.911838790932
34.21;193.6866498740554
34.243;193.72594458438286
34.277;192.84238603297769
34.311;193
34.345;193.86315789473684
34.378;193.7097744360902
34.413;193.540350877193
34.447;193.11441090555016
34.515;193.10759493670886
34.557;193.975074775673
34.591;194.02941176470588
34.631;193.95513459621137
34.665;193.5041162227603
34.699;193.40726392251815
34.734;193.36464891041163
34.768;194.02594810379242
34.802;193.82335329341316
34.836;193.32213438735178
