time;interpolated Pixel forehead
15.757;226.9973222979552
15.787;226.8657700921189
15.817;226.70373235136285
15.847;226.6751984604282
15.877;226.69176810762175
15.907;227.00151075264887
15.937;227.311253397676
15.967;227.34222766217871
15.997;227.35022210268028
16.027;227.40925563971007
16.057;227.49321891839847
16.087;227.52558721630945
16.117;227.54725321434404
16.147;227.41908701410907
16.177;227.37005134788188
16.207;227.3949756097561
16.237;227.354
16.267;227.35516390528338
16.297;227.39319988622628
16.327;227.42569949088377
16.357;227.4452808842087
16.387;227.47362794741957
16.417;227.6246943890338
16.447;227.77576083064804
16.477;227.9268272722623
16.507;228.04010620134545
16.537;228.14918651792516
16.567;228.24371412401973
16.597;228.26197847154472
16.627;228.1915315815909
16.657;228.16727859275872
16.687;228.327801208413
16.717;228.48832382406732
16.747;228.54816617294398
16.777;228.507328255043
16.807;228.4456985700646
16.837;228.3457617038149
16.867;228.5159024611289
16.897;228.6860432184429
16.927;228.93182521356775
16.957;228.9684157525625
16.987;228.83613738536235
17.017;228.63293113068983
17.047;228.35350316248028
17.077;228.28972996746765
17.107;228.225956772455
17.137;228.10646807500592
17.167;228.01631958115354
17.197;227.94573535408455
17.227;227.88834103574828
17.257;227.830946717412
17.287;227.6977218228807
17.317;227.54141805733354
17.347;227.44242567248702
17.377;227.4471744223857
17.407;227.58963691934647
17.437;227.38117924855894
17.467;227.24915353923922
17.497;227.1947200086735
17.527;227.02825938822645
17.557;227.00218620767626
17.587;226.97611302712608
17.617;227.03364067723498
17.647;227.10788849347568
17.677;227.18213630971636
17.707;227.348404639668
17.737;227.5629743026116
17.767;227.8279903577069
17.797;228.07418747056053
17.827;228.07418747056053
17.857;228.24656031244965
17.887;228.4248770454384
17.917;228.4724281742354
17.947;228.51241049823486
17.977;228.6773544369204
18.007;228.9494061665824
18.037;229.03770721337796
18.067;229.14756451774446
18.097;229.55920942810403
18.127;229.9367871902856
18.157;230.17809635975516
18.187;230.41940552922472
18.217;230.72424431879963
18.247;230.74805575233998
