Count,median,Polar
164.615,82.03125,86
165.12,82.03125,86
165.59,82.03125,87
166.063,83.98437500000001,87
166.53,83.98437500000001,87
167.00799999999998,83.98437500000001,87
167.479,83.98437500000001,87
167.99200000000002,83.98437500000001,87
168.451,83.98437500000001,87
168.94299999999998,83.98437500000001,86
169.435,83.98437500000001,86
169.88099999999997,83.98437500000001,85
170.39,83.98437500000001,85
170.84099999999998,83.98437500000001,85
171.33700000000002,83.98437500000001,85
171.80700000000002,83.98437500000001,84
172.27900000000002,83.98437500000001,84
172.766,83.98437500000001,83
173.25900000000001,83.98437500000001,83
173.74099999999999,83.98437500000001,83
174.213,83.98437500000001,83
174.69400000000002,83.98437500000001,83
175.202,83.98437500000001,83
175.658,83.98437500000001,83
176.12599999999998,83.98437500000001,83
176.662,83.98437500000001,83
177.097,83.98437500000001,83
177.56099999999998,83.98437500000001,84
178.06099999999998,83.98437500000001,84
178.53099999999998,83.98437500000001,84
179.028,83.98437500000001,84
179.493,83.98437500000001,84
179.96099999999998,83.98437500000001,84
