time;interpolated Pixel forehead
7.469;227.28765005599988
7.499;227.1906269755432
7.529;227.18200267536253
7.559;227.13698403181016
7.589;227.0287017167382
7.619;227.0287017167382
7.649;227.1717338108893
7.679;227.31230456919275
7.709;226.99223173723743
7.739;226.49571964956195
7.769;226.4432340425532
7.799;226.5387069096177
7.829;226.5892759002762
7.859;226.63984489093468
7.889;226.78545855136326
7.919;226.85941322273882
7.949;227.09205058525419
7.979;227.32898003237992
8.009;227.27070416341866
8.039;227.12999807766244
8.069;227.24990388312187
8.099;227.27946623093683
8.129;227.1367701999159
8.159;226.9945526597736
8.189;226.99242277556183
8.219;226.95548253243086
8.249;227.0674663364804
8.279;227.20202261762338
8.309;227.19561537970236
8.339;227.11453537368868
8.369;227.3038150119919
8.399;227.4914316535676
8.429;227.6308213900447
8.459;227.66821123859958
8.489;227.6123421248464
8.519;227.46667476908118
8.549;227.69273213417597
8.579;227.75078593420838
8.609;227.76667464866148
8.639;227.76307055937664
8.669;227.76951857082682
8.699;227.76461183993982
8.729;227.7584564826771
8.759;227.77469522701017
8.789;227.61654649387307
8.819;227.69055345231655
8.849;227.78114296015863
8.879;227.81901978105066
8.909;227.81557531662625
8.939;227.80405899029446
8.969;227.73155825354522
8.999;227.78905504556968
9.029;227.79983713355048
9.059;227.78942901453453
9.089;227.78150812683188
9.119;227.74030267311576
9.149;227.5857822216803
9.179;227.43126177024482
9.209;227.4262767253794
9.239;227.49886407796012
9.269;227.64038219827253
9.299;227.74113844632876
9.329;227.75556431597954
9.359;227.72555134755828
9.389;227.71286168521462
9.419;227.78382402324382
9.449;227.76881499082847
9.479;227.7568077648962
9.509;227.7568077648962
9.539;228.00166162023885
9.569;228.05221255745053
9.599;228.09417082440527
9.629;228.18139177691384
9.659;228.26923013923013
9.689;228.29374616507312
9.719;227.668293279429
9.749;227.49821967553294
9.779;227.46673976608187
9.809;227.50167622421642
9.839;227.59138495092694
9.869;227.51222856637503
9.899;227.82651856690765
9.929;227.87259361866234
9.959;227.8944561430227
9.989;227.91484774993262
10.019;227.9040531329751
10.049;227.86653240117823
10.079;227.88340966549953
10.109;227.93209388836766
10.139;227.98567148947376
10.169;228.08245199220374
10.199;228.02210958375912
10.229;227.90961450356698
10.259;228.01354797292635
10.289;228.25800728730766
10.319;228.39973776162685
10.349;228.42270642325295
10.379;228.44567508487907
10.409;228.53707233626588
10.439;228.64557673509287
10.469;228.60058183561608
10.499;228.48511665325825
10.529;228.4260561901244
10.559;228.2055239642567
10.589;228.25713193482105
10.619;228.31009018332026
10.649;228.2859019694514
10.679;228.2285619566819
10.709;228.1641618781003
10.739;228.18744590625587
10.769;228.3447414359155
10.799;228.4671711754122
10.829;228.50416441319632
10.859;228.43439697133584
10.889;228.48601016608845
10.919;228.5247399738001
10.949;228.49013640563186
10.979;228.41465798302656
11.009;228.33917956042126
11.039;228.3880416543283
11.069;228.49416217567426
11.099;228.50409450075824
11.129;228.54488508767213
11.159;228.60632808256383
11.189;228.60412819120043
11.219;228.56827810972297
11.249;228.6196299869474
11.279;228.67398882826498
11.309;228.7162936378838
11.339;228.66984901344836
11.369;228.62501014429242
11.399;228.58560673711196
11.429;228.19069962939164
11.459;228.19324579377684
11.489;228.19579195816206
11.519;228.1587778962113
11.549;228.1181912765106
11.579;228.22218545437372
