time;Pixel rightCheek
98.248;206.20171265461465
98.281;206.54896421845575
98.314;206.42184557438796
98.348;206.66148775894538
98.392;206.4081920903955
98.429;205.67134831460675
98.489;205.9307116104869
98.523;205.95177902621722
98.556;205.91011235955057
98.589;205.55907372400756
98.625;205.60822306238185
98.658;205.61342155009453
98.692;205.47463936714752
98.726;205.4839460214053
98.766;205.87651444547996
98.804;205.84109972041006
98.841;205.62907735321528
98.915;205.39804013065796
98.982;205.80167988800747
99.016;205.81211547562708
99.05;205.9621391386654
99.085;205.52904464714354
99.118;205.25444071051368
99.156;205.15458473355736
99.222;205.37978927203065
99.256;205.35153256704982
99.289;205.2037037037037
99.364;205.31718898385566
99.397;204.93878527020564
99.433;205.08990913438546
99.465;205.21630695443645
99.5;204.99712230215826
99.533;205.05563549160672
99.567;204.85323741007196
99.604;204.98119417019277
99.637;205.28584861307004
99.675;204.84310986964618
99.71;205.1987895716946
99.778;205.2756052141527
99.812;205.89077212806026
99.846;205.72457627118644
99.883;205.37806026365348
99.917;205.0583804143126
99.987;204.73823940381928
100.054;204.94783418723802
100.182;204.9224586288416
100.249;205.3177304964539
100.326;205.20646651270206
100.394;205.1256351039261
100.428;205.24665127020785
100.468;205.65194927195867
100.545;205.47909816815405
100.647;205.22874589008924
100.681;204.7160205511443
100.713;204.53619803829986
100.78;204.8267164876226
100.849;205.047686496695
100.919;205.252596789424
101.027;205.05874060150376
101.116;205.14332706766916
101.187;205.13977485928706
101.254;204.75046904315198
101.291;204.47279549718573
101.359;204.6290550070522
101.448;204.68688293370946
101.5;204.77582938388625
101.589;204.52748815165876
101.657;204.46258185219833
101.725;204.5243217960711
101.763;204.4822263797942
101.795;204.92936802973978
101.863;205.00882899628252
101.93;205.30762081784385
101.973;205.07422969187675
102.04;204.874883286648
102.074;204.5459610027855
102.116;204.28644382544104
102.196;204.3091922005571
102.263;204.1104921077066
102.297;204.40150446638458
102.365;204.24071462153267
102.399;204.2748592870544
102.434;204.14493433395873
102.472;204.86964705882352
102.506;204.96988235294117
102.572;204.8646370023419
102.618;204.66419294990723
102.685;204.94619666048237
102.725;204.93599257884972
102.759;204.99154532644434
102.792;204.76373884452795
102.86;204.6838891498356
102.894;204.33833177132146
102.929;204.28912839737583
102.995;204.6638655462185
103.028;204.6844070961718
103.061;204.16372093023256
103.095;203.8227906976744
103.174;204.31954887218046
103.23;204.35244360902254
103.268;203.6888063167673
103.302;203.6888063167673
103.336;204.14398513701812
103.37;204.64936886395512
103.404;204.49649368863956
103.436;204.7606358111267
103.47;204.27958993476236
103.51;204.2982292637465
103.547;204.52976744186046
103.58;204.36558139534884
103.646;203.91340782122904
103.686;203.61545623836128
103.752;203.9096834264432
103.785;204.1052880075543
103.819;204.3862134088763
103.852;204.18649669499527
103.889;203.57017137563687
103.923;203.57017137563687
103.989;203.889846743295
104.056;204.18534482758622
104.089;204.07471264367817
104.124;204.39750957854406
104.191;204.14085820895522
104.259;204.76780626780626
104.294;204.51282051282053
104.331;204.3423551756885
104.397;204.05857544517337
104.464;204.03748828491098
104.531;203.91977347805567
104.576;204.12505899008966
104.61;204.51946818613484
104.645;204.55128205128204
104.683;204.65859449192783
104.758;204.7282196969697
104.794;204.79024621212122
104.86;205.11666666666667
104.894;205.1261904761905
104.932;205.21
104.969;204.99573661771672
105.008;204.4647086688773
105.043;204.42823306489817
105.092;204.62055897678826
105.126;204.97786151672162
105.191;205.3551577955723
105.226;205.45297145531117
105.293;205.5067852129153
105.341;204.95325779036827
105.412;205.27350835322196
105.479;205.02052505966586
105.513;205.3217183770883
105.547;205.3413258110014
105.581;205.6708979783733
105.648;205.2322703474536
105.689;205.2574964302713
105.722;204.97698449976514
105.756;204.82151244715828
105.794;204.77266322217002
105.833;204.2907468294974
105.867;204.04884922498826
105.903;204.23391263503993
105.936;204.2134670487106
105.973;204.3686723973257
106.04;204.57210179076344
106.084;204.55419415645616
106.151;204.70122525918944
106.184;204.84168241965975
106.218;204.7906427221172
106.268;204.96833648393195
106.322;204.12268188302426
106.356;204.13742272943415
106.391;204.3109756097561
106.426;204.26031894934334
106.493;203.67317770366842
106.526;203.88804192472605
106.563;204.20142517814728
106.6;204.0413301662708
106.667;204.24429657794676
106.701;204.16634980988593
106.739;204.25712927756655
106.773;204.08555133079847
106.806;204.36134852801518
106.84;204.23456790123456
106.88;204.44481132075472
106.949;204.3688679245283
106.996;204.2661632845682
107.063;204.29447852760737
107.098;204.08907641819033
107.133;204.30707923112988
107.168;204.09095171120487
107.205;204.18237224566337
107.239;204.08662900188324
107.275;204.21374764595103
107.343;204.10588235294117
107.377;204.34729411764707
107.41;204.3035294117647
107.443;204.12736742424244
107.479;203.9190340909091
107.531;204.03401039206423
107.564;203.86112423240434
107.599;203.86112423240434
107.631;204.00610042233694
107.666;203.84655091506335
107.699;203.75622357914514
107.733;203.5899483325505
107.781;203.74220963172806
107.815;203.671388101983
107.849;203.20358152686146
107.883;202.79453345900095
107.916;202.9359095193214
107.95;203.20263901979266
107.984;203.32918064206996
108.018;203.4010541447053
108.06;203.48391674550615
108.096;203.62771996215704
108.163;204.08481724461106
108.197;203.99578256794751
108.231;203.42626070409133
108.265;203.5394862036156
108.312;203.23095125414102
108.345;202.95314718409844
108.378;202.98816848083294
108.464;203.67778836987608
108.501;203.7049571020019
108.535;203.63155386081982
108.568;203.30225988700565
108.601;203.0484934086629
108.637;203.18622327790973
108.672;203.01805225653206
108.711;203.16501650165017
108.745;203.18104667609617
108.812;203.06450071667464
108.846;203.06450071667464
108.88;203.156660412758
108.924;203.3700750469043
108.989;202.8158396946565
109.023;202.69513358778627
109.058;202.67414122137404
109.091;203.06333333333333
109.123;203.25380952380954
109.158;203.14210777300906
109.196;203.37052932761088
109.232;203.46494992846925
109.298;203.43661971830986
109.332;203.41032863849765
109.367;202.95251661918329
109.437;203.0878442545109
109.47;202.88771593090212
109.504;203.10796545105566
109.538;203.81637482252722
109.571;203.65925224798863
109.605;203.5712257453857
109.64;203.95598674869854
109.674;203.74459078080903
109.708;203.2271872060207
109.751;203.3582302568982
109.785;203.25547098001903
109.818;203.54329210275927
109.852;203.0442857142857
109.886;203.24809523809523
109.922;203.3434679334917
109.989;203.45368171021377
110.029;203.1917808219178
110.074;203.1965044874823
110.142;203.08503562945367
110.175;203.08503562945367
110.209;203.21520190023753
110.243;203.2812351543943
110.276;204.17630331753554
110.31;204.10189573459715
110.344;203.99763145428707
110.411;203.81241117953576
110.444;203.32667617689015
110.478;203.19067998097955
110.517;203.05753685211602
110.546;202.33789523360076
110.581;202.41717791411043
110.614;203.2530516431925
110.648;202.92347417840375
110.723;202.6506080449018
110.758;202.46071094480823
110.795;202.95603367633302
110.861;203.30494117647058
110.897;203.30494117647058
110.932;203.50258823529413
110.989;203.67120713950212
111.03;203.07233442930954
111.08;203.2231208372978
111.113;203.24262607040913
111.181;202.62494161606725
111.213;202.60439047174216
111.248;202.5680224403927
111.281;202.7246376811594
111.315;203.07924528301888
111.351;202.80754716981133
111.385;202.64905660377357
111.418;202.78773584905662
111.485;202.86817325800376
111.519;203.01553672316385
111.557;202.95433145009417
111.591;202.92870632672333
111.626;203.07601510859303
111.693;203.4585896829153
111.726;203.11500236630383
111.775;202.83544303797467
111.81;203.0731364275668
111.844;202.79653070792313
111.877;202.41038839494618
111.911;202.41038839494618
111.945;202.64032181732134
111.979;202.90156176053006
112.013;202.62943681968764
112.046;202.7438330170778
112.121;202.69165085388994
